,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
0,14.0,73,9.5,82.0,partly cloudy,1010.82,2,Winter,3.5,inland,Rainy
2,30.0,64,7.0,16.0,clear,1018.72,5,Spring,5.5,mountain,Sunny
3,38.0,83,1.5,82.0,clear,1026.25,7,Spring,1.0,coastal,Sunny
4,27.0,74,17.0,66.0,overcast,990.67,1,Winter,2.5,mountain,Rainy
9,28.0,74,8.5,107.0,clear,1012.13,8,Winter,7.5,coastal,Sunny
11,38.0,43,2.0,16.0,clear,1029.16,11,Autumn,7.5,inland,Sunny
14,24.0,21,3.5,8.0,clear,1018.88,8,Winter,5.5,coastal,Sunny
16,30.0,27,7.0,13.0,partly cloudy,1016.38,5,Spring,7.5,inland,Sunny
18,43.0,46,0.5,15.0,clear,1025.8,9,Spring,6.0,mountain,Sunny
19,13.0,102,12.0,72.0,clear,1012.25,4,Summer,8.0,inland,Sunny
22,33.0,36,7.5,18.0,clear,1014.29,8,Summer,9.5,mountain,Sunny
26,17.0,72,7.5,62.0,overcast,1010.16,2,Summer,3.0,mountain,Rainy
27,40.0,57,4.0,12.0,partly cloudy,1020.73,11,Winter,9.5,coastal,Sunny
28,24.0,61,6.5,3.0,partly cloudy,1018.15,7,Autumn,5.5,mountain,Sunny
29,30.0,70,16.0,54.0,partly cloudy,1007.75,0,Winter,3.0,mountain,Rainy
30,28.0,85,7.0,97.0,overcast,991.07,1,Spring,2.0,coastal,Rainy
33,15.0,97,23.0,91.0,overcast,1009.36,13,Winter,2.5,mountain,Rainy
34,29.0,69,3.0,15.0,clear,1012.09,10,Winter,5.5,inland,Sunny
35,35.0,21,10.0,6.0,clear,1026.81,5,Autumn,7.5,coastal,Sunny
36,11.0,90,25.5,76.0,partly cloudy,996.17,0,Winter,1.0,mountain,Rainy
40,32.0,37,0.5,9.0,partly cloudy,1013.99,11,Winter,8.5,inland,Sunny
41,36.0,22,1.0,0.0,clear,1028.63,10,Summer,5.5,mountain,Sunny
43,42.0,64,2.0,18.0,partly cloudy,1028.55,8,Autumn,8.0,mountain,Sunny
44,21.0,43,10.0,11.0,clear,1019.41,11,Spring,6.0,mountain,Sunny
45,22.0,50,0.0,18.0,clear,1016.5,5,Summer,8.0,coastal,Sunny
47,26.0,25,2.5,14.0,partly cloudy,1010.34,8,Winter,5.0,mountain,Sunny
48,26.0,91,9.5,82.0,overcast,1019.42,3,Summer,4.0,mountain,Rainy
50,17.0,90,11.0,98.0,overcast,1017.49,3,Winter,4.0,inland,Rainy
55,22.0,95,13.0,90.0,overcast,997.97,3,Autumn,2.5,coastal,Rainy
57,33.0,41,0.0,4.0,clear,1018.56,7,Winter,9.5,coastal,Sunny
58,31.0,70,0.5,69.0,overcast,1074.07,3,Spring,12.5,inland,Sunny
59,16.0,84,18.5,54.0,overcast,996.12,0,Spring,3.0,coastal,Rainy
61,29.0,63,6.0,68.0,overcast,992.45,0,Winter,3.0,mountain,Rainy
65,25.0,85,9.0,67.0,overcast,995.4,1,Winter,2.0,mountain,Rainy
66,25.0,89,1.5,87.0,partly cloudy,1017.16,11,Summer,6.5,mountain,Sunny
67,24.0,47,8.0,17.0,clear,1025.22,5,Summer,6.0,mountain,Sunny
69,21.0,54,3.0,17.0,clear,1026.15,7,Summer,8.0,mountain,Sunny
73,31.0,62,6.5,84.0,overcast,1013.61,0,Spring,4.5,inland,Rainy
74,33.0,31,6.5,18.0,clear,1022.53,7,Summer,8.5,coastal,Sunny
75,34.0,47,5.0,4.0,clear,1027.53,9,Spring,10.0,inland,Sunny
77,28.0,68,18.0,90.0,overcast,992.83,3,Winter,5.0,mountain,Rainy
78,33.0,62,10.0,83.0,partly cloudy,1009.48,1,Summer,3.5,inland,Rainy
79,25.0,96,6.0,90.0,overcast,1006.67,0,Autumn,4.5,mountain,Rainy
81,49.0,75,11.5,82.0,partly cloudy,1029.09,10,Summer,7.0,coastal,Sunny
83,31.0,62,5.5,99.0,overcast,1019.92,0,Summer,4.5,mountain,Rainy
85,32.0,35,2.5,63.0,partly cloudy,1160.48,2,Winter,0.0,coastal,Sunny
87,27.0,43,1.0,8.0,clear,1022.48,9,Summer,9.0,mountain,Sunny
91,30.0,64,6.0,67.0,partly cloudy,1009.12,3,Summer,4.0,coastal,Rainy
92,19.0,93,14.5,57.0,overcast,1018.44,0,Winter,4.0,inland,Rainy
93,14.0,44,9.0,11.0,partly cloudy,853.01,14,Winter,3.5,coastal,Rainy
95,17.0,88,18.0,83.0,partly cloudy,1026.94,0,Spring,5.5,mountain,Sunny
96,23.0,88,11.5,65.0,overcast,1000.74,1,Winter,5.0,mountain,Rainy
97,28.0,35,9.5,0.0,partly cloudy,1023.62,9,Winter,10.0,coastal,Sunny
100,40.0,66,8.0,5.0,clear,1019.82,5,Autumn,5.5,mountain,Sunny
101,20.0,24,3.0,6.0,clear,1013.68,9,Winter,6.5,mountain,Sunny
104,22.0,65,6.0,14.0,partly cloudy,1010.17,8,Autumn,7.0,coastal,Sunny
106,29.0,47,8.5,2.0,clear,1027.33,11,Summer,5.5,inland,Sunny
107,13.0,80,15.5,59.0,overcast,1012.06,0,Autumn,3.5,mountain,Rainy
108,27.0,39,5.0,16.0,clear,1021.61,5,Autumn,5.0,mountain,Sunny
109,38.0,75,0.5,79.0,overcast,1057.69,0,Summer,10.0,inland,Rainy
110,20.0,48,9.5,6.0,clear,1015.16,6,Autumn,8.5,mountain,Sunny
111,19.0,82,7.0,85.0,partly cloudy,1008.5,1,Summer,3.5,coastal,Rainy
112,18.0,70,5.0,94.0,overcast,1012.87,2,Spring,3.5,mountain,Rainy
113,18.0,60,12.5,42.0,overcast,822.66,2,Summer,17.5,mountain,Rainy
118,32.0,61,5.5,53.0,overcast,995.09,2,Summer,4.0,inland,Rainy
119,41.0,29,8.0,17.0,clear,1011.53,11,Spring,10.0,inland,Sunny
127,26.0,76,9.0,68.0,overcast,1004.27,3,Spring,3.5,inland,Rainy
128,22.0,92,19.5,81.0,overcast,1017.76,0,Winter,4.5,coastal,Rainy
129,20.0,96,14.0,94.0,overcast,997.77,0,Summer,4.5,mountain,Rainy
132,20.0,95,16.0,91.0,overcast,1016.14,0,Summer,2.5,mountain,Rainy
134,29.0,77,0.5,91.0,cloudy,934.49,14,Autumn,17.0,inland,Sunny
137,46.0,94,4.0,90.0,clear,1022.88,10,Spring,12.5,mountain,Sunny
141,22.0,48,6.0,15.0,clear,1020.0,5,Spring,9.5,inland,Sunny
